** Is number a divisible by number b? **
1. Invalid input: Number can't be null.
2. Attempted to divide by zero.
3. [PASS] Is 0 divisible by 15? Yes
4. [PASS] Is 50 divisible by 1? Yes
5. [PASS] Is 50 divisible by 50? Yes
6. [PASS] Is 50 divisible by 5? Yes
7. [PASS] Is 50 divisible by 45? No
8. [PASS] Is 50 divisible by 49? No
9. [PASS] Is 50 divisible by 51? No
10. [PASS] Is 50 divisible by 20? No
11. [PASS] Is 50 divisible by -1? Yes
12. [PASS] Is 50 divisible by -25? Yes
13. [PASS] Is 50 divisible by -30? No

** Is number a divisible by 2? **
14. [PASS] Is -100 divisible by 2? Yes
15. [PASS] Is 101 divisible by 2? No
16. [PASS] Is 102 divisible by 2? Yes
17. [PASS] Is -103 divisible by 2? No
18. [PASS] Is 104 divisible by 2? Yes
19. [PASS] Is 105 divisible by 2? No
20. [PASS] Is 106 divisible by 2? Yes
21. [PASS] Is 107 divisible by 2? No
22. [PASS] Is -108 divisible by 2? Yes
23. [PASS] Is 109 divisible by 2? No
24. [PASS] Is 110 divisible by 2? Yes

** Is number a divisible by 3? **
25. [PASS] Is -4011 divisible by 3? Yes
26. [PASS] Is -3 divisible by 3? Yes
27. [PASS] Is 0 divisible by 3? Yes
28. [PASS] Is 3 divisible by 3? Yes
29. [PASS] Is 9 divisible by 3? Yes
30. [PASS] Is 12 divisible by 3? Yes
31. [PASS] Is 99 divisible by 3? Yes
32. [PASS] Is 111 divisible by 3? Yes
33. [PASS] Is 10914 divisible by 3? Yes
34. [PASS] Is -4012 divisible by 3? No
35. [PASS] Is -7 divisible by 3? No
36. [PASS] Is -1 divisible by 3? No
37. [PASS] Is 8 divisible by 3? No
38. [PASS] Is 10 divisible by 3? No
39. [PASS] Is 11 divisible by 3? No
40. [PASS] Is 100 divisible by 3? No
41. [PASS] Is 10913 divisible by 3? No

** Is number a divisible by 4? **
42. [PASS] Is -500 divisible by 4? Yes
43. [PASS] Is -496 divisible by 4? Yes
44. [PASS] Is -96 divisible by 4? Yes
45. [PASS] Is -12 divisible by 4? Yes
46. [PASS] Is -8 divisible by 4? Yes
47. [PASS] Is -4 divisible by 4? Yes
48. [PASS] Is 0 divisible by 4? Yes
49. [PASS] Is 4 divisible by 4? Yes
50. [PASS] Is 8 divisible by 4? Yes
51. [PASS] Is 12 divisible by 4? Yes
52. [PASS] Is 16 divisible by 4? Yes
53. [PASS] Is 20 divisible by 4? Yes
54. [PASS] Is 88 divisible by 4? Yes
55. [PASS] Is 100 divisible by 4? Yes
56. [PASS] Is 104 divisible by 4? Yes
57. [PASS] Is 144 divisible by 4? Yes
58. [PASS] Is 100064 divisible by 4? Yes
59. [PASS] Is -590 divisible by 4? No
60. [PASS] Is -414 divisible by 4? No
61. [PASS] Is -87 divisible by 4? No
62. [PASS] Is -10 divisible by 4? No
63. [PASS] Is -7 divisible by 4? No
64. [PASS] Is 6 divisible by 4? No
65. [PASS] Is 11 divisible by 4? No
66. [PASS] Is 21 divisible by 4? No
67. [PASS] Is 99 divisible by 4? No
68. [PASS] Is 101 divisible by 4? No
69. [PASS] Is 510 divisible by 4? No
70. [PASS] Is 100094 divisible by 4? No

** Is number a divisible by 5? **
71. [PASS] Is -500 divisible by 5? Yes
72. [PASS] Is -105 divisible by 5? Yes
73. [PASS] Is -100 divisible by 5? Yes
74. [PASS] Is -95 divisible by 5? Yes
75. [PASS] Is -15 divisible by 5? Yes
76. [PASS] Is -10 divisible by 5? Yes
77. [PASS] Is -5 divisible by 5? Yes
78. [PASS] Is 0 divisible by 5? Yes
79. [PASS] Is 5 divisible by 5? Yes
80. [PASS] Is 10 divisible by 5? Yes
81. [PASS] Is 15 divisible by 5? Yes
82. [PASS] Is 20 divisible by 5? Yes
83. [PASS] Is 25 divisible by 5? Yes
84. [PASS] Is 95 divisible by 5? Yes
85. [PASS] Is 100 divisible by 5? Yes
86. [PASS] Is 105 divisible by 5? Yes
87. [PASS] Is 2147483640 divisible by 5? Yes
88. [PASS] Is -599 divisible by 5? No
89. [PASS] Is -101 divisible by 5? No
90. [PASS] Is -6 divisible by 5? No
91. [PASS] Is 1 divisible by 5? No
92. [PASS] Is 9 divisible by 5? No
93. [PASS] Is 99 divisible by 5? No
94. [PASS] Is 101 divisible by 5? No
95. [PASS] Is 100051 divisible by 5? No
96. [PASS] Is 2147483639 divisible by 5? No

** Is number a divisible by 6? **
97. [PASS] Is -750 divisible by 6? Yes
98. [PASS] Is -120 divisible by 6? Yes
99. [PASS] Is -90 divisible by 6? Yes
100. [PASS] Is -30 divisible by 6? Yes
101. [PASS] Is -18 divisible by 6? Yes
102. [PASS] Is -12 divisible by 6? Yes
103. [PASS] Is -6 divisible by 6? Yes
104. [PASS] Is 0 divisible by 6? Yes
105. [PASS] Is 6 divisible by 6? Yes
106. [PASS] Is 12 divisible by 6? Yes
107. [PASS] Is 18 divisible by 6? Yes
108. [PASS] Is 24 divisible by 6? Yes
109. [PASS] Is 48 divisible by 6? Yes
110. [PASS] Is 120 divisible by 6? Yes
111. [PASS] Is 1038 divisible by 6? Yes
112. [PASS] Is -500 divisible by 6? No
113. [PASS] Is -303 divisible by 6? No
114. [PASS] Is -104 divisible by 6? No
115. [PASS] Is -20 divisible by 6? No
116. [PASS] Is -16 divisible by 6? No
117. [PASS] Is -15 divisible by 6? No
118. [PASS] Is -9 divisible by 6? No
119. [PASS] Is -2 divisible by 6? No
120. [PASS] Is 3 divisible by 6? No
121. [PASS] Is 8 divisible by 6? No
122. [PASS] Is 99 divisible by 6? No
123. [PASS] Is 100 divisible by 6? No
124. [PASS] Is 111 divisible by 6? No

** Is number a divisible by 7? **
125. [PASS] Is -770 divisible by 7? Yes
126. [PASS] Is -133 divisible by 7? Yes
127. [PASS] Is -49 divisible by 7? Yes
128. [PASS] Is -28 divisible by 7? Yes
129. [PASS] Is -14 divisible by 7? Yes
130. [PASS] Is -7 divisible by 7? Yes
131. [PASS] Is 0 divisible by 7? Yes
132. [PASS] Is 7 divisible by 7? Yes
133. [PASS] Is 21 divisible by 7? Yes
134. [PASS] Is 35 divisible by 7? Yes
135. [PASS] Is 56 divisible by 7? Yes
136. [PASS] Is 70 divisible by 7? Yes
137. [PASS] Is 7168 divisible by 7? Yes
138. [PASS] Is -776 divisible by 7? No
139. [PASS] Is -132 divisible by 7? No
140. [PASS] Is -20 divisible by 7? No
141. [PASS] Is -13 divisible by 7? No
142. [PASS] Is -6 divisible by 7? No
143. [PASS] Is 3 divisible by 7? No
144. [PASS] Is 10 divisible by 7? No
145. [PASS] Is 78 divisible by 7? No
146. [PASS] Is 100 divisible by 7? No
147. [PASS] Is 7169 divisible by 7? No

** Is number a divisible by 8? **
148. [PASS] Is -880 divisible by 8? Yes
149. [PASS] Is -792 divisible by 8? Yes
150. [PASS] Is -104 divisible by 8? Yes
151. [PASS] Is -48 divisible by 8? Yes
152. [PASS] Is -16 divisible by 8? Yes
153. [PASS] Is -8 divisible by 8? Yes
154. [PASS] Is 0 divisible by 8? Yes
155. [PASS] Is 8 divisible by 8? Yes
156. [PASS] Is 24 divisible by 8? Yes
157. [PASS] Is 144 divisible by 8? Yes
158. [PASS] Is 976 divisible by 8? Yes
159. [PASS] Is 152104 divisible by 8? Yes
160. [PASS] Is -1806 divisible by 8? No
161. [PASS] Is -404 divisible by 8? No
162. [PASS] Is -12 divisible by 8? No
163. [PASS] Is 1 divisible by 8? No
164. [PASS] Is 9 divisible by 8? No
165. [PASS] Is 11 divisible by 8? No
166. [PASS] Is 25 divisible by 8? No
167. [PASS] Is 578 divisible by 8? No
168. [PASS] Is 152105 divisible by 8? No

** Is number a divisible by 9? **
169. [PASS] Is -10341 divisible by 9? Yes
170. [PASS] Is -999 divisible by 9? Yes
171. [PASS] Is -108 divisible by 9? Yes
172. [PASS] Is -45 divisible by 9? Yes
173. [PASS] Is -9 divisible by 9? Yes
174. [PASS] Is 0 divisible by 9? Yes
175. [PASS] Is 9 divisible by 9? Yes
176. [PASS] Is 18 divisible by 9? Yes
177. [PASS] Is 90 divisible by 9? Yes
178. [PASS] Is 954 divisible by 9? Yes
179. [PASS] Is 9675 divisible by 9? Yes
180. [PASS] Is 1815309 divisible by 9? Yes
181. [PASS] Is -10340 divisible by 9? No
182. [PASS] Is -101 divisible by 9? No
183. [PASS] Is -8 divisible by 9? No
184. [PASS] Is -1 divisible by 9? No
185. [PASS] Is 19 divisible by 9? No
186. [PASS] Is 100 divisible by 9? No
187. [PASS] Is 1815317 divisible by 9? No

** Is number a divisible by 11? **
188. [PASS] Is -981904 divisible by 11? Yes
189. [PASS] Is -7260 divisible by 11? Yes
190. [PASS] Is -110 divisible by 11? Yes
191. [PASS] Is -44 divisible by 11? Yes
192. [PASS] Is -11 divisible by 11? Yes
193. [PASS] Is 0 divisible by 11? Yes
194. [PASS] Is 11 divisible by 11? Yes
195. [PASS] Is 66 divisible by 11? Yes
196. [PASS] Is 121 divisible by 11? Yes
197. [PASS] Is 7810 divisible by 11? Yes
